My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
1.0.0.0	1.0.0.255	256
1.1.1.0	1.1.1.0	1
1.1.1.2	1.1.1.255	254
1.32.232.0	1.32.239.255	2,048
2.16.41.0	2.16.41.255	256
2.16.110.0	2.16.111.255	512
2.16.130.0	2.16.130.255	256
2.16.188.0	2.16.188.255	256
2.16.192.0	2.16.192.255	256
2.16.200.0	2.16.200.255	256
2.16.205.0	2.16.205.255	256
2.17.64.0	2.17.64.255	256
2.17.66.0	2.17.69.255	1,024
2.17.72.0	2.17.74.255	768
2.17.80.0	2.17.81.255	512
2.17.84.0	2.17.85.255	512
2.17.88.0	2.17.92.255	1,280
2.17.95.0	2.17.95.255	256
2.17.192.0	2.17.192.255	256
2.17.194.0	2.17.199.255	1,536
2.18.32.0	2.18.35.255	1,024
2.18.43.0	2.18.43.255	256
2.18.48.0	2.18.51.255	1,024
2.19.111.0	2.19.111.255	256
2.19.192.0	2.19.207.255	4,096
2.20.48.0	2.20.51.255	1,024
2.20.134.0	2.20.134.255	256
2.20.181.0	2.20.181.255	256
2.20.251.0	2.20.252.255	512
2.21.8.0	2.21.8.255	256
2.21.16.0	2.21.31.255	4,096
2.21.44.0	2.21.47.255	1,024
2.21.92.0	2.21.92.255	256
2.21.108.0	2.21.111.255	1,024
2.21.230.0	2.21.230.255	256
2.21.236.0	2.21.239.255	1,024
2.22.21.0	2.22.21.255	256
2.22.64.0	2.22.79.255	4,096
2.22.150.0	2.22.150.255	256
2.22.160.0	2.22.161.255	512
2.22.163.0	2.22.165.255	768
2.22.167.0	2.22.167.255	256
2.22.169.0	2.22.169.255	256
2.22.172.0	2.22.173.255	512
2.22.182.0	2.22.183.255	512
2.22.185.0	2.22.186.255	512
2.22.189.0	2.22.189.255	256
2.22.191.0	2.22.191.255	256
2.22.225.0	2.22.225.255	256
2.22.243.0	2.22.245.255	768
2.23.17.0	2.23.17.255	256
2.23.19.0	2.23.19.255	256
2.23.21.0	2.23.21.255	256
2.23.23.0	2.23.23.255	256
2.23.59.0	2.23.60.255	512
2.23.150.0	2.23.150.255	256
2.56.20.0	2.56.23.255	1,024
2.56.32.0	2.56.35.255	1,024
2.56.44.0	2.56.51.255	2,048
2.56.56.0	2.56.59.255	1,024
2.56.72.0	2.56.75.255	1,024
2.56.114.0	2.56.127.255	3,584
2.56.137.0	2.56.137.255	256
2.56.139.0	2.56.139.255	256
2.56.147.0	2.56.147.255	256
2.56.151.0	2.56.151.255	256
2.56.165.0	2.56.165.255	256
2.56.172.0	2.56.179.255	2,048
2.56.184.0	2.56.187.255	1,024
2.56.245.0	2.56.251.255	1,792
2.56.255.0	2.56.255.255	256
2.57.78.0	2.57.79.255	512
2.57.91.0	2.57.91.255	256
2.57.121.0	2.57.123.255	768
2.57.151.0	2.57.151.255	256
2.57.164.0	2.57.167.255	1,024
2.57.252.0	2.57.255.255	1,024
2.58.84.0	2.58.87.255	1,024
2.58.148.0	2.58.151.255	1,024
2.58.200.0	2.58.203.255	1,024
2.58.232.0	2.58.235.255	1,024
2.59.9.0	2.59.9.255	256
2.59.56.0	2.59.63.255	2,048
2.59.151.0	2.59.152.255	512
2.59.172.0	2.59.175.255	1,024
2.97.64.0	2.97.65.255	512
2.113.24.32	2.113.24.47	16
2.116.18.208	2.116.18.215	8
2.116.238.32	2.116.238.39	8
2.116.246.88	2.116.246.95	8
2.116.249.144	2.116.249.151	8
2.117.17.104	2.117.17.111	8
2.119.24.0	2.119.24.15	16
2.135.239.228	2.135.239.231	4
2.167.106.72	2.167.106.79	8
2.167.108.0	2.167.108.255	256
2.203.85.0	2.203.87.255	768
2.255.248.19	2.255.248.20	2
2.255.248.129	2.255.248.129	1
2.255.248.139	2.255.248.139	1
2.255.248.149	2.255.248.149	1
2.255.249.4	2.255.249.5	2
2.255.249.19	2.255.249.19	1
2.255.249.44	2.255.249.44	1
2.255.249.50	2.255.249.50	1
2.255.249.53	2.255.249.53	1
2.255.249.56	2.255.249.56	1
2.255.249.150	2.255.249.150	1
2.255.249.162	2.255.249.162	1
2.255.249.167	2.255.249.167	1
2.255.249.174	2.255.249.174	1
2.255.249.176	2.255.249.176	1
2.255.250.0	2.255.250.0	1
2.255.250.3	2.255.250.5	3
2.255.250.7	2.255.250.7	1
2.255.250.12	2.255.250.12	1
2.255.250.16	2.255.250.16	1
2.255.250.20	2.255.250.20	1
2.255.250.24	2.255.250.32	9
2.255.250.36	2.255.250.36	1
2.255.250.41	2.255.250.50	10
2.255.250.53	2.255.250.54	2
2.255.250.57	2.255.250.58	2
2.255.250.62	2.255.250.202	141
2.255.250.205	2.255.250.255	51
2.255.251.3	2.255.251.3	1
2.255.251.5	2.255.251.7	3
2.255.251.9	2.255.251.14	6
2.255.251.20	2.255.251.20	1
2.255.251.25	2.255.251.25	1
2.255.251.32	2.255.251.32	1
2.255.251.38	2.255.251.38	1
2.255.251.50	2.255.251.50	1
2.255.251.55	2.255.251.55	1
2.255.251.205	2.255.251.206	2
2.255.251.210	2.255.251.210	1
2.255.251.230	2.255.251.230	1
2.255.251.232	2.255.251.233	2
2.255.251.235	2.255.251.235	1
2.255.251.238	2.255.251.239	2
2.255.251.244	2.255.251.244	1
2.255.251.248	2.255.251.248	1
2.255.251.250	2.255.251.250	1
2.255.252.8	2.255.252.8	1
2.255.252.242	2.255.252.242	1
2.255.253.7	2.255.253.10	4
2.255.253.14	2.255.253.14	1
2.255.253.37	2.255.253.39	3
2.255.253.43	2.255.253.43	1
2.255.253.78	2.255.253.78	1
2.255.253.113	2.255.253.114	2
2.255.253.116	2.255.253.116	1
2.255.253.181	2.255.253.182	2
2.255.253.184	2.255.253.184	1
2.255.253.218	2.255.253.218	1
2.255.253.242	2.255.253.242	1
2.255.254.0	2.255.254.16	17
2.255.254.18	2.255.254.20	3
2.255.254.22	2.255.254.24	3
2.255.254.26	2.255.254.33	8
2.255.254.36	2.255.254.37	2
2.255.254.40	2.255.254.43	4
2.255.254.45	2.255.254.46	2
2.255.254.48	2.255.254.48	1
2.255.254.50	2.255.254.74	25
2.255.254.76	2.255.254.77	2
2.255.254.79	2.255.254.86	8
2.255.254.88	2.255.254.88	1
2.255.254.90	2.255.254.94	5
2.255.254.96	2.255.254.97	2
2.255.254.99	2.255.254.100	2
2.255.254.102	2.255.254.106	5
2.255.254.109	2.255.254.109	1
2.255.254.111	2.255.254.115	5
2.255.254.117	2.255.254.118	2
2.255.254.120	2.255.254.124	5
2.255.254.126	2.255.254.133	8
2.255.254.135	2.255.254.137	3
2.255.254.139	2.255.254.140	2
2.255.254.142	2.255.254.143	2
2.255.254.146	2.255.254.146	1
2.255.254.148	2.255.254.148	1
2.255.254.150	2.255.254.151	2
2.255.254.153	2.255.254.154	2
2.255.254.156	2.255.254.157	2
2.255.254.159	2.255.254.179	21
2.255.254.181	2.255.254.181	1
2.255.254.185	2.255.254.218	34
2.255.254.220	2.255.254.255	36
3.2.0.0	3.7.255.255	393,216
3.12.0.0	3.23.255.255	786,432
3.28.0.0	3.103.255.255	4,980,736
3.108.0.0	3.111.255.255	262,144
3.112.23.16	3.112.23.255	240
3.113.218.64	3.113.218.255	192
3.116.0.0	3.119.255.255	262,144
3.128.0.0	3.247.255.255	7,864,320
4.0.0.0	4.0.0.222	223
4.0.0.224	4.0.0.224	1
4.0.0.227	4.0.0.227	1
4.0.0.232	4.0.0.232	1
4.0.0.234	4.0.1.133	156
4.0.1.135	4.0.2.69	191
4.0.2.71	4.0.3.213	399
4.0.3.215	4.0.4.24	66
4.0.4.26	4.0.5.0	231
4.0.5.2	4.0.5.5	4
4.0.5.7	4.0.5.225	219
4.0.5.227	4.0.68.49	15,951
4.0.68.51	4.0.244.193	45,199
4.0.244.195	4.1.0.2	2,880
4.1.0.5	4.1.0.5	1
4.1.0.7	4.1.0.8	2
4.1.0.10	4.1.0.16	7
4.1.0.18	4.1.0.18	1
4.1.0.21	4.1.0.21	1
4.1.0.23	4.1.0.32	10
4.1.0.37	4.1.0.38	2
4.1.0.40	4.1.1.60	277
4.1.1.63	4.1.1.248	186
4.1.1.250	4.1.5.60	835
4.1.5.63	4.1.5.76	14
4.1.5.78	4.1.5.236	159
4.1.5.238	4.1.9.208	995
4.1.9.210	4.1.9.236	27
4.1.9.238	4.1.9.240	3
4.1.9.242	4.1.9.244	3
4.1.9.246	4.1.13.60	839
4.1.13.63	4.1.13.100	38
4.1.13.102	4.1.13.104	3
4.1.13.106	4.1.13.244	139
4.1.13.246	4.1.13.252	7
4.1.13.255	4.14.241.255	910,337
4.14.242.1	4.14.242.1	1
4.14.242.34	4.14.242.34	1
4.14.242.37	4.14.242.38	2
4.14.242.50	4.14.242.50	1
4.14.242.54	4.14.242.54	1
4.14.242.58	4.14.242.58	1
4.14.242.62	4.14.242.62	1
4.14.242.82	4.14.242.82	1
4.14.242.85	4.14.242.86	2
4.14.242.161	4.14.242.162	2
4.14.242.165	4.14.242.166	2
4.14.242.169	4.14.242.170	2
4.14.242.174	4.14.242.174	1
4.14.242.177	4.14.242.178	2
4.14.242.194	4.14.242.194	1
4.14.242.198	4.14.242.198	1
4.14.242.201	4.14.242.201	1
4.14.242.217	4.14.242.218	2
4.14.242.222	4.14.242.222	1
4.14.242.233	4.14.242.234	2
4.14.242.237	4.14.242.238	2
4.14.242.242	4.14.242.242	1
4.14.242.246	4.14.242.246	1
4.14.242.249	4.14.242.250	2
4.14.242.253	4.14.242.254	2
